location_id,prana_name,city_name
agra_ind.34_1_in,Agra,Agra
ahmedabad_ind.11_1_in,Ahmedabad,Ahmedabad
amritsar_ind.28_1_in,Amritsar,Amritsar
asanol_ind.36_1_in,Asanol,Asanol
aurangabad_ind.20_1_in,Aurangabad,Aurangabad
baddi_ind.13_1_in,Baddi,Baddi
bangalore_ind.16_1_in,Bangalore,Bangalore
bhopal_ind.19_1_in,Bhopal,Bhopal
chandigarh_ind.6_1_in,Chandigarh,Chandigarh
chandrapur_ind.20_1_in,Chandrapur,Chandrapur
davanagere_ind.16_1_in,Devanagere,Davanagere
delhi_ind.25_1_in,Delhi,Delhi
dewas_ind.19_1_in,Dewas,Dewas
durgapur_ind.36_1_in,Durgapur,Durgapur
faridabad_ind.12_1_in,Faridabad,Faridabad
firozabad_ind.34_1_in,Firozabad,Firozabad
gaya_ind.5_1_in,Gaya,Gaya
ghaziabad_ind.34_1_in,Ghaziabad,Ghaziabad
gorakhpur_ind.34_1_in,Gorakhpur,Gorakhpur
guwahati_ind.4_1_in,Guwahati,Guwahati
gwalior_ind.19_1_in,Gwalior,Gwalior
haldia_ind.36_1_in,Haldia,Haldia
howrah_ind.36_1_in,Howrah,Howrah
hyderabad_ind.32_1_in,Hyderabad,Hyderabad
indore_ind.19_1_in,Indore,Indore
jabalpur_ind.19_1_in,Jabalpur,Jabalpur
jaipur_ind.29_1_in,Jaipur,Jaipur
jalandhar_ind.28_1_in,Jalandhar,Jalandhar
jhansi_ind.34_1_in,Jhansi,Jhansi
jodhpur_ind.29_1_in,Jodhpur,Jodhpur
kanpur_ind.34_1_in,Kanpur,Kanpur
khanna_ind.28_1_in,Khanna,Khanna
kohima_ind.24_1_in,Kohima,Kohima
kolkata_ind.36_1_in,Kolkata,Kolkata
kota_ind.29_1_in,Kota,Kota
lucknow_ind.34_1_in,Lucknow,Lucknow
ludhiana_ind.28_1_in,Ludhiana,Ludhiana
meerut_ind.34_1_in,Meerut,Meerut
mumbai_ind.20_1_in,Mumbai,Mumbai
muradabad_ind.34_1_in,Moradabad,Muradabad
muzaffarpur_ind.5_1_in,Muzaffarpur,Muzaffarpur
nagpur_ind.20_1_in,Nagpur,Nagpur
nashik_ind.20_1_in,Nashik,Nashik
navi mumbai_ind.20_1_in,Navi Mumbai,Navi Mumbai
noida_ind.34_1_in,Noida,Noida
patiala_ind.28_1_in,Patiala,Patiala
patna_ind.5_1_in,Patna,Patna
pune_ind.20_1_in,Pune,Pune
rajamahendravaram_ind.2_1_in,Rajahmundry,Rajamahendravaram
solapur_ind.20_1_in,Solapur,Solapur
talcher_ind.26_1_in,Talcher,Talcher
thane_ind.20_1_in,Thane,Thane
udaipur_ind.29_1_in,Udaipur,Udaipur
varanasi_ind.34_1_in,Varanasi,Varanasi
visakhapatnam_ind.2_1_in,Vishakhapatnam,Visakhapatnam
