location_name,poll,rsquared_testing,period,delta_observed,delta_trend,delta_weather
Amritsar,pm10,0.7175104377680632,FY 2018-2019 to FY 2023-2024,-1.011399395570109,-6.653190813736543,5.641791418166434
Asanol,pm10,0.8895221540859161,FY 2018-2019 to FY 2023-2024,5.694523171951943,7.490649860252063,-1.7961266883001201
Aurangabad,pm10,0.6451429401877178,FY 2018-2019 to FY 2023-2024,17.929481134552674,14.855817308037587,3.0736638265150873
Chandrapur,pm10,0.7091162280233627,FY 2018-2019 to FY 2023-2024,-7.327815235543525,-9.548943288213806,2.221128052670281
Delhi,pm10,0.7975653860625986,FY 2018-2019 to FY 2023-2024,-30.163159332267526,-24.903151906692273,-5.260007425575253
Dewas,pm10,0.6992624150701775,FY 2018-2019 to FY 2023-2024,-21.25082723275051,-15.630810332922891,-5.620016899827618
Ghaziabad,pm10,0.857942471323004,FY 2018-2019 to FY 2023-2024,-78.8849286598971,-80.61947229779085,1.7345436378937507
Haldia,pm10,0.7325284261224918,FY 2018-2019 to FY 2023-2024,-10.607689263951855,-11.962153862633357,1.3544645986815027
Howrah,pm10,0.8747404713435196,FY 2018-2019 to FY 2023-2024,-35.02485879963969,-31.78352479053143,-3.2413340091082574
Hyderabad,pm10,0.8750332162721671,FY 2018-2019 to FY 2023-2024,-14.687386765284188,-13.653046192918723,-1.0343405723654655
Jaipur,pm10,0.6982965099860845,FY 2018-2019 to FY 2023-2024,1.1606123576316918,4.523761789019261,-3.363149431387569
Jalandhar,pm10,0.6824888135246315,FY 2018-2019 to FY 2023-2024,10.211983870737285,5.301166680998051,4.910817189739234
Jodhpur,pm10,0.7160210284893327,FY 2018-2019 to FY 2023-2024,-73.76950625056082,-64.63361588125787,-9.135890369302956
Kota,pm10,0.7336812268207202,FY 2018-2019 to FY 2023-2024,-17.24820886407892,-10.566130209564093,-6.682078654514825
Ludhiana,pm10,0.6617686272483402,FY 2018-2019 to FY 2023-2024,22.07105682414705,23.987917431736804,-1.9168606075897543
Muradabad,pm10,0.7799098187304448,FY 2018-2019 to FY 2023-2024,-104.41284502520826,-102.08080290509871,-2.3320421201095485
Nagpur,pm10,0.8405961501473436,FY 2018-2019 to FY 2023-2024,9.652057303252462,11.59103981932661,-1.938982516074148
Nashik,pm10,0.7758727893256651,FY 2018-2019 to FY 2023-2024,5.08157409722925,5.996967500585654,-0.9153934033564042
Navi Mumbai,pm10,0.8552941019705851,FY 2018-2019 to FY 2023-2024,18.703763255034417,31.19972729265767,-12.495964037623253
Noida,pm10,0.83201868610992,FY 2018-2019 to FY 2023-2024,-57.765215463370964,-44.55876006115372,-13.206455402217244
Patiala,pm10,0.7394227163350593,FY 2018-2019 to FY 2023-2024,-8.062280370636216,-6.819194764202493,-1.2430856064337235
Rajamahendravaram,pm10,0.8407155243870449,FY 2018-2019 to FY 2023-2024,-2.9191851449546675,-6.595643851149148,3.676458706194481
Thane,pm10,0.7134183689177404,FY 2018-2019 to FY 2023-2024,0.7478889615726416,3.4238619453224857,-2.675972983749844
Udaipur,pm10,0.7276305752544613,FY 2018-2019 to FY 2023-2024,-32.04807522658221,-24.20854329338347,-7.839531933198742
Varanasi,pm10,0.8330761283300127,FY 2018-2019 to FY 2023-2024,-156.52853647293045,-162.57928998565987,6.050753512729415
Visakhapatnam,pm10,0.7190749522597639,FY 2018-2019 to FY 2023-2024,9.999490113280544,4.261133175610141,5.738356937670403
